a, an	wį, wįxce
peach.	hką́ące hį́įšce
pear.	hką́ące hpá álą
peas.	hǫ́brį́ke htóho žį́
pecan nut.	watástosta
peel (verb).	ðiilóce, ðuušáake, páašpue
peep into, peer in or into.	okácˀį
peeved: be -	óla
pemmican.	htáapše
pen.	wapáleze, wéleze
penalty.	ílanąwakíšupe
pencil.	wapáleze, wéleze
penis.	šǫ́ce, žé
pennies (small change).	ošpéžį, waðáawažį
penny	waðáawa žúuce, waðáawažį
people.	níhkašie, níhkašika
people: little - (small beings in Osage mythology).	míalǫška
people: many or a lot of -	huukǫ́ða
people gathering with each other.	hkilíiski, waðíiski
pepper.	mąhkáhpa
pepper: black -	mąhkáhpa sápe
pepper: red -	mąhkáhpa žúuce
pepper shaker.	mąhkáhpaóožu
perch (fish).	hó bráaska
perform.	káaɣe
perform surgery on.	hpáce
perfume.	wabrą́lį
perhaps.	ska
permanent (adjective).	saakí šǫǫšǫ́we
perplexity.	ókˀą wanąðaži
persecute (an animal or person).	ðiihíce
persimmon.	wastą́įke
person.	níhka, níhkašie
person: become or live as a -	ínihkašie
person: young -	hcéka nǫ́ǫ
person of mixed blood.	įįštáxįžį́
person of unsound mind.	waðíla eekǫ́ įké
person who cooks.	oohǫ́
person who is always making people laugh.  	wahóhota
person who talks too much or too long.	íe scece, íeštą
person who tells everything.	táatąžį́ ški oðáake
person who won't stay home or seldom stays home.	wáaspaži
personal name in the Eagle clan (mǫ́žǫ)	mą́žą
personal name (perhaps that of Charlie Pasetopah).	hcí tóopa
personality, personal characteristics.	ókˀą
perspire.	paɣíce
pestle.	wépše
petiton.	waatá
Petsemoie (family name).	hpéece mąðį́
Petsemoie: Herman - (personal name: Daylight Approaches).	hǫ́ǫpahu
peyote.	wanǫ́bre
peyote: have one's body affected by -	mą́hkažóika
peyote meeting.	hkihkǫ́ze, mąhkáðaaché
peyote or any other kind of medicine.	mąhká
peyote song.	hkihkǫ́ze waaðǫ́
peyote tea.	wanǫ́brenii
pharmacist.	mąhká aðį́
phlegm.	hóxpe léle, íli
phone (noun).	mą́zeie
phone: call by -	mą́zeie híðe
photograph.	įcé waléze
physician.	wahkǫ́taki
piano.	paakíce
pick (choose).	hkíhpaahi
pick (e.g., flowers or fruit).	paahí
pick fruit.	ðuuzé
pick or pluck (e.g., a chicken).	ðuušáake
pick people (or things?).	wapáahi
pick up.	ðiihą́, hkíhpaahi
pick up (many small scattered things).	paahí
pickle.	hkohkóma
picnic (verb).	ášihta wanǫ́bre
picture of anything.	įcé waléze
picture show.	ówatoį
pie of any sort (fruit, cream, etc.).	hkąącóolą
piece.	hépe
piece: small -	ošpéžį
pig.	hkóhkosa
piggyback: carry -	ðuškápa
pillow.	į́pehi
pillow to sit on (as for a sofa, chair, or other seat).	wákaštǫ
pillowcase.	íphiį oðíši, oðíši
pin (ornamental).	wápaɣa
pinch (verb).	ðilǫ́ke
pinch off (e.g., in making balls out of cornmeal for cornmeal dumplings).	kaaskí
pine wood, pine tree.	páze hú
pipe.	nąnį́ǫpa
pistol.	wahóotą, wahóotą táahpa
pitch (and other card games).	oðáake kˀǫ
pitcher (container).	níioožú
pitiful.	lažį́į, waxpáðį
pity (verb).	ðakˀéðe
pity; show or use - with.	íðakˀeðe
pity each other.	ðakˀéhkiðe
pity one's own or someone close.	ðakˀékiðe
pity oneself.	ðakˀéhkiðe
place: at their ~.	eeí pa
place: be at that ~.	eeí
place: in ~ of.	(see dative prefix)
place a baby on the baby board or inside.	hpáaž̨̨įokˀǫ́he
place a standing item on a surface.	khícheðe
place above.	mąšíhta
place an item upright on another item.	ále
place at which.	ó-
place in operation.	ðuušką́
place inside of.	oolą́
place into.	okˀǫ̌he
place multiple items on top of something else.	ážu
place right next to the hearer: to a ~.	šeeðǫ́ha
place something or someone first.	hpahą́le mąðį́
place something up or above.	ámąši
place to bathe.	ohílða
place to live.	oheíle
place together (as when cooking two or more items together).	oðóhkiðe
place two or more things together and tie them.	paaxcé
place upon or on.	álą, álj̨j̨
place vertically against.	álą
plain: make ~.	wáðaaska
plain: make things ~(e.g., words, lines upon a paper, bordes on land).	wáðuuska
plant (e.g. seed in the ground).	oožú
plant stuff.	oožú
plant to mix with tobacco (a small, sweet-smelling plant with yellow flowers that is mixed with tobacco).	nąnúhu íkiahį
planting.	ówe
plants: "put in" ~.	oožú
plat.	mąžą́waleze
plate.	hį́įce
platter.	hį́įce apakˀą́, hį́įce braaka
play (intransitive).	škáce
play (transitive).	kˀǫ́
play a card (in a card game).	ðée káaɣe
play dice.	kˀǫ́sukˀǫ́
play a horn or other wind instrument.	opíɣą
play a joke on.	ðíhota
play cards.	htaną́kˀa kˀǫ́
play golf.	htaapéskažįkˀǫ́
play music on an instrument.	paakíce
play slyly or meanly with.	ðiihíce
play with someone related to oneself or animate being of one's own.	kiškace
play with something	ðiihíce
player: tape ~.	mą́zeie
playing cards (noun).	htaną́kˀa, htaną́kˀa ðiihíce
pleased with; be ~.	kiðálį
plentiful.	ochí
plentifully: exist ~.	ochí, óše
plenty.	kaakǫ́ną, oše
pluck (e.g., a chicken).	ðuušáake
plum.	hką́ąc xóce, níižue hką́ące
plural marker.	api
plus.	éci
pneumonia.	ðúwenie
pocket. 	óožu
pocketbook.	mą́zeskaoožú
point at, point to.	ápazo
point (in a game).	pázo
point (of an object).	hpasú
pointing finger.	wéapazo
pointless, pointlessly.	ée ht́ahaži
poison.	mąhká hpíiži
pokey (slow).	wascúuce
pokey one (slow person).	ošcúuce
pole.	žą́ą žą́ąxe, žą́ąxežį
pole: fishing ~.	hóize žą́ąxe
police.	áhkita
polish. 	(see discussion under ápuštai)
pollute (e.g., water or air).	ízizike káaɣe
Ponca (tribe or tribal member).	hpǫ́hka
pond.	niitáahpa
ponder.	waðílą
pony.	hkáwa
ponytails (one on each side of the head).	héðǫǫpa
poor (of poor quality).	hǫ́ǫži
poor (pitiful).	lazšį́į
poor (poverty stricken).	waxpáðį
poor: be ~, do something poorly.	oolą́ąži
poor performance: make a ~ of.	oolą́ąži
poorly.	hǫ́ǫži
pop (e.g., a balloon).	kaapxóhke
pop: soda ~.	niikáapxohke
pop bottle or can.	niikáapxokeoožú
pope.	šǫmį́hka kahíke
porch.	ánąąhkoe
porcupine.	hpáhį
pork.	hkóhkosa
pork fat.	hkohkósa wéli, wéli
porter. hei'z;epe ahkita	heížepe ahkita
portion that fills approximately half full	ohépe
portly	šį́htąką
portrait	įcé waléze
position (occupation)	oðihtą
positional articles [positional]	che, ðe, jkše, ke, kše, pa, pe, txą
positioned so that it surrounds a part of the body: have something ~	į́
possess	aðį́
possession: come into ~ of	okšéhtą
possible	ðąąché
possum	sį́šta
posterboard containing text	waléze
pot	céɣe
pot: cooking ~	óohǫ
potato: white or Irish	tóoska
Potawatomi (tribe or tribal member)	wahówahá
potential marker	hta
pouch: tobacco	nąnįǫ́kužu
pouch made of hide or leather	óožuhaa
pound (verb)	pšé
pound, (measure of weight)	íðuspa
pour	ólą
pout about another's good fortune	óxįį
poverty stricken	waxpáðį
power	waašką́
practice (noun), practice session	íkˀuce
prairie	zą́ą, zą́ące
prairie chicken	mǫ́nǫį
prance	ðiheíceðe
Pratt: Henry - (personal name)	nǫ́ǫhpewaðe (specifically, variant from nǫ́ǫhpewali)
Pratt: Henry ~, JR. (personal name)	xǫ́ǫce mą́į
pray	waatá, wíkie
pray for	kíwaata
pray for oneself, pray for each other	waahkíhta
pray for someone or s.t	waatá
prayer	íe, waatá, wíkie
prayer: closing of a ~	kaašeną
prayer neads	́wikie hį́įska
praying mantis	waluška įįštá htą́ka
preacher	ožą́ke olį́į, wahkǫ́ta íe oðáake, wahkǫ́taki
precede	hpahą́le ðée
precious	hcéxi, óxta
precious: consider ~	óxta káaɣe
precious: make ~	óxtaðe
precisely	xci
prepare	káaɣe
prepare (e.g. food)	oohǫ́
prepare a feast for another or others	kíkxo
prepare for someone (e.g. food or a bed)	kšíɣe
president	ihcíkoapí
press something (e.g., cloth with an iron).	wapúštaha
press together.	ðiikíke ́
pressing, by ~.	paa-, pu-
pretend.	kǫzé [JOD, LFD]
pretty.	ðáalį
pretty: very.	ohtáza
prevail upon someone to do something	waší
prickly.	waxáka, xáka
priest.	ožą́ke olį́į, wahkǫ́taki
prior.	hpahą́le ́
prize something	kiwaiį
probable.	ðąąché
probe.	ákazo
problem.	óie
problem: discussion of a ~.	óie
proceed.	ékiǫ
proclaim.	oðáake
produce: garden ~ (vegetables).	ówe, wasúutą
profusion.	óše
program: put on a ~.	ókˀą
prohibit.	ižoši
promise-keeper.	íe okípše
pronounce.	ðaacé
proper, properly.	wáðohtą
proposal or proposition: make a ~.	táatą paahą
propose.	hce ée
prostitute.	wakˀó nǫǫhǫ́
protrude.	ðuhtáža
protuberance.	hpá
proud, proud of.	óžo áži
proud: be ~ of one's own.	óžo ákižį
proud: be ~ of oneself.	óžo áhkižį
provide.	okˀú
provide for.	wakˀú
provide that.	tą
prune.	hką́ące sápe
Pryor; Antoine (personal name: Gentle Man)	níhka watą́įke
puff, puff on	ðaahtą́
pull	ðaahtą́
pull (e.g., a tooth) to remove it	ðiíštowe
pull apart (e.eg., a tree limb from a trunk)	ðupáxa
pull dirt over	áðikˀo
pull down	ðuuhúuce
pull off	ðiištówe
pull out (e.g., all of one's hair)	ðuušáake
pull over to cover	áðuzu
pull to, pull shut	áðiitą
pull up	ðuumą́ši
puma	itǫ́eži
pumpkin	watxą́
punch	paaspą́
punch (e.g., - someone on the side of the head)	kaabráze
punch a hole in	opákˀo
punch through	kaascú
punching: by -	pó-
punk (tinder)	žąąhcúkˀa
puppy	šǫ́žį
purchase	ðuwį́
purple	htóho sape, žúuce sápe
purse	mą́zeskaoožú, wá́seska
push along, push someone or someone steadily	paaɣówe
push aside	kaacį́že
push down on	apisą
push someone onward	hpánąąke
push to awaken or make active	paaɣí
push to drunkenness	páalǫðį
push two or more things together and tie them	paaxcé
pushing; by -	paa-
pushy	ohesaži
put (e.g., a baby on a baby board)	okˀðhe
put a pourable substance on something else	ážu
put an end to something	kaaštą
put away to keep	kícheðe
put clothes on oneself	óhkioolą
put down	hkícheðe
put each other to a test	áhkiasąci
put in	oožú
put into	okˀǫ́he, oolą́
put on: cause someone to or make someone - an article of clothing	įkšíðe
put on (e.g., pants, shoes)	álaha, oną́ąžį, opáahą, otxą́
put on (place on)	álą
put on clothing (not one's own)	wéhkilį opáahą
put on clothes (one's own)	wéhkilį okíhpaahą
put on one's own pants or shoes	okítxą
put on oneself (e.g., a shirt or dress)	óhkioolą́
put on the head	oolą́ke
put out (multiple items)	ážu
put over, put upon	ákaaspe
put someone in jail	hą́ąnahpazé oolą́
put someone to bed	áðižą
put stuff in	óožu
put to the test	ásąci
putrefied	tožaðe
quack (like a duck)	hóohtą
quail	óšechiðe wakáaɣe, žǫhpáleze
Quapaw Indians	okáxpa
quarrelsome	taakéštą
quarrelsome: feel -	hkížį
quarter (25-cent piece)	kašpéǫpa
queen (in a deck of cards)	wakˀó, žekážįka
queen of spades (in a deck of cards)	mą́ąhįsu wakˀó
question about one's own people or things	ilǫ́ɣe
question someone	iðǫɣe
question something verbally (as in a business meeting)	óie
quick to do things, quick-acting	wahtóke
quickly	óhesaži, wakóo
quiet	níažį, šká
quiet: be -	oní ðįké
quiet (not in movement)	šką́aži
quietly (not in movement)	šką́aži
quill	súhkahtąą mǫ́šǫ
quilt	óhkiache, omíže
quirt	wékaaži
quit	kaaštą́, panáa
quit someone	ǫ́ǫða
quit someone (divorce or separate)	ǫ́ǫðe
quite a while: for-	kaahúuža
quiver	ðibrúbruɣe
rabbit	mąšcį́ka
raccoon	mį́hkaa
race (noun)	hkipáną
rack (barbecue rack)	oážu, wážu
radio	htaacé oðį́įke, mą́zeie, wéhice aną́kˀǫ
radish	hpǫ́ɣe
ragged	cúuða, xúuða
ragweed	mąąhį́hpa
rain (n, v)	níižu
rain: fine -	níižu xóhtą
rain, gray -	níišoce, niižú xóce
rain: light -	niižúžu
rain: misting	íhkišoce
rain lightly	nuužúžu
rain shower	níižužį́
rainbow	htoníle
raindrops: fine -	níižu xóhtą
raise (e.g., a flag)	paamą́ši
raise (lift)	ðuhpáahą, ðumáða, ðuumą́ši, paahą́, paamą́ši
raise (rear)	nǫ́ǫðe
raise someone or something	ðiihą́
raise up	ðumáða, opáahą
raise us, those who -	nǫ́ǫwaapi
rank and authority: one with -	totą́ha
ranking member	totą́ha
rape (verb)	mąąðǫ́
rat	įchóhtąą
rate: at any -	óðąži
rather (adverb)	́ékǫ
rather (conjunction)	kóe
ration (give out in portions)	ínkilai
rations (food)	ǫ́nǫbre
rations (from the government)	wahkílai
rattle: gourd -	hpéɣe
raven	hkáɣe, hkáɣe htą́ka
raw	cúutaži
reach as a location or place	achí
read (transitive)	ðaacé
reading	walézeáace
ready (adjective)	háha, íðiištą
ready: be -	ðiištą́, íhice
ready: get or make oneself -	háhahkie
ready oneself, get oneself ready	hkíliištą
ready to pick or harvest	súutą
real	xci
really	wálį, xci, -žį
rear (raise)	nǫ́ǫðe
reason: out of - (unreasonable)	ée htáhaži
recent, recently	hcéka
recent, the most -	ce
receptacle	oožú
recess (verb)	panáa
reciprocal prefix (recip)	hkik-
recite	oðáake
reckless	íinǫǫhpaži
recline	áðiikxą, áðiikxą žąą
recognize (a person)	ípahǫ
recognize oneself (as)	íhkihpakǫ
reconsider	oðóhake íðilą
record (make a recording with an audio device)	íe ðuuzé
recorder: tape	mą́zeie
record-keeper for tribal council	waléze káaɣe
recover (from illness)	kiní, kítąhe
recover consciousness	hkilázo, iihkíðe
rectitude: an act with -	óðohtąhkiðe
rectitude: acting with -	óðohtą
rectum	įléha
recuperate	kiní
recurring one after another	ótxątxą
recurringly	ną [ittratįe], nąpe
red	žúuce
red: dark -	pazó ekǫ́
Red Eagle (name for first boy in hcížo clan	xuðážuuce
Redeagle: Jeanna - (personal name: Looking Eagle)	xúe tǫ́į
redo	kikáaɣe
reduce (transitive)	čóopa ekǫ káaɣe
reduced quantity	wahókˀa
reflexive possessive (see suus prefix)	
reflexive prefix (refl)	hkik-
reform (verb)	kikáaɣe
refrigerator	ną́ɣeoožú
refuse to do something	ížoši
refuse to talk	íeži
regain consciousness	iihkíðe
regard as holy	óxta káaɣe
regard each other as friends or relatives	ðótahkiðe
regardless	óðąži
regulations	wahkílaace
regurgitate due to overeating	ókohpa
reimburse	kišupe
reimburse (for)	wakíšupe
reject	ðuuzaži
relate (narrative)	oðáake
related: be -	ðótahkiðe
relatives: regard or take each other as -	ðótahkiðe
relax	hkilázo
reliable	wáðohtą
relive someone of their clothes	ðuuštáke
reluctant to do something: be -	ížoši
reluctant to share something of one's own	kíwalį
rely on	íkinaaži
remain	ošcé
remainder	ošcé
remainder (singular standing inanimate, or plural sitting inanimate)	ošcé che
remainders (scattered around)	ošcé ke
remaining	ošcé che
remedy (verb)	ðuðáalį
remember	kisúðe
remove	ðicíze, ðuxpáxį
remove a garment	ðiištówe
remove, as from office.	ǫ́ǫðe
remove by pulling.	ðiištówe
remove from (e.g., remove a kettle from a cooking fire).	šíle
remove some substance from a surface.	kaací
remove something by extracting or lowering it.	oðúuxpaðe
remove the hide from anything.	ámaxa
rent (noun).	ootá mą́zeska
repair (verb).	kikáaɣe
repair for someone	kšíɣe
repay.	kíśupe
repay for.	wakíśupe
repeatedly.	háachi, íkiha, ną [ITERATIVE], štą
reportative markers.	áakxa, áapa, áape
represent (as an attorney at law argues on behalf of a client).	ákhie
representative: congressional~.	hkiistó omąðį
representative (in legislature).	wahkílaace káaɣe
reprimand (verb).	kaazą́
request (verb).	tá
request marker.	hce
request something	waatá
request that someone do something	íihǫ
request to borrow something	ootá
resembling each other.	kǫzéhkihkǫ
reside.	hcíle
resound.	xowí
respect (verb).	ðixópe, kíxope, ókˀą axópe
respect: address folks with~.	óxtahkiðe
responsibility: have the ~ for s.t specific in response to a formal request (e.g., taking care of the food for an event).	okášą
rest (verb).	áðiikxą, áðiikxą žą́ą, hkikˀą́zehkiðe
rest: a night's ~.	žą́ą
rest: at ~.	škaškáða
rest (remainder):	ošcé, ošcé che
rest (remainder, scattered around).	ošcé ke
restaurant.	owánǫbrehcí
restrain by tying.	ðuušáwį
restraint (such as a bridle?).	wáapįce
retarded: "mentally ~."	cˀéka
rethink.	oðóhake íðilą
retrograde.	xáða
return here (motion accomplished).	alí
return home, return there.	akší
return home,return there (motion underway).	alée
